Source,DBA,SoundCategory
"Subway, inside the car at 35 mph",95,Transportation
"Subway, loud",95,Transportation
"Subway, MTA New York City",81,Transportation
"Subway, MTA New York City",79,Transportation
"Subway, PATH, New Jersey",79,Transportation
"Subway, PATH, New Jersey",79,Transportation
"Surf, pounding",70,Nature
Symphony concert,80-100,Music/Recording
"Symphony, full",90,Music/Recording
Talking,75,Household
Talking Jet by Chain Fong Toys,80,Recreation
Telephone,66-75,Household
Telephone ringing,80,Household
"Telephone, earlier style cordless",140,Household
"Telephone, ringing",80,Household
Television ,75,Household
Television  ,75,Household
Television audio,70,Household
Television audio,70,Household
Thunder,110,Nature
"Thunder, severe",120,Nature
Thunderclap,120,Nature
Thunder-sticks inflatable tubes,109,Recreation
"Thunderstorm with torrential rain, peak levels",95-112,Nature
Tiller,70,Household
"Tiller, rotary",79,Household
Toilet flushing,75,Household
"Toilet,  flush -  low level",73-82,Household
"Toilet, flush - high level",80-85,Household
"Tonka Search and Rescue Talking Transceiver by Hasbro, Inc.",90,Recreation
Toothbrush,60,Household
Toothbrush,62,Household
Toothbrush,74,Household
"Toothbrush, electric",40,Household
"Toothbrush, electric",60,Household
"Tractor, diesel powered",80,Transportation
"Tractor, garden",95,Household
"Tractor, garden",78,Transportation
Traffic,100,Public
"Traffic, average street",83,Public
"Traffic, busy",70,Public
"Traffic, busy",70,Public
"Traffic, freeway ",70,Public
"Traffic, heavy",90,Public
"Traffic, heavy",100,Public
"Traffic, heavy city",90,Public
"Traffic, light ",45,Public
"Traffic, light ",45,Public
"Traffic, light ",50,Public
"Traffic, light ",50,Public
"Traffic, near freeway",64,Public
"Traffic, near freeway",65,Public
"Traffic, near freeway",65,Public
"Traffic, road ",36-52,Public
Train,85-100,Transportation
Train passenger,72-91,Transportation
Train passenger,75-90,Transportation
"Train, diesel",83,Transportation
"Train, diesel at 50 mph",83,Transportation
"Train, elevated - overhead",100,Transportation
"Train, freight",75,Transportation
"Train, freight",75,Transportation
"Train, in distance",54,Transportation
"Train, Long Island Railroad, NY",77,Transportation
"Train, Long Island Railroad, NY",71,Transportation
"Train, Metro-North Railroad, NYC",77,Transportation
"Train, Metro-North Railroad, NYC",72,Transportation
"Train, near elevated",110,Transportation
"Train, Staten Island Railroad, NYC",77,Transportation
"Train, Staten Island Railroad, NYC",77,Transportation
"Tram, Roosevelt Island Tramway, New York City",77,Transportation
"Tram, Roosevelt Island Tramway, New York City",77,Transportation
"Transformer, large electric",53,Public
Trash compactor,74,Household
Triangle (musical instrument),91,Toys
Trip to Greenfield Village,75-94,Public
"Truck, 1 ton",70,Transportation
"Truck, 20 ton",92,Transportation
"Truck, 5 ton",73,Transportation
"Truck, diesel",84,Transportation
"Truck, diesel - accelerating",114,Transportation
"Truck, diesel 40 mph",84,Transportation
"Truck, diesel 40 mph ",85,Transportation
"Truck, diesel at 40 mph",84,Transportation
"Truck, diesel powered ",80,Transportation
"Truck, dump ",92,Transportation
"Truck, garbage at roadside",100,Transportation
"Truck, heavy",91,Transportation
"Truck, heavy",77-89,Transportation
"Truck, heavy ",90,Transportation
"Truck, passing",70-100,Transportation
"Truck, passing        ",80,Transportation
"Truck, trailer at roadside",100,Transportation
Typewriter,40,Office
Typewriter,75,Office
"Typewriter, quiet",65,Office
"Typical outdoor close to freeway, urban transit, or major airport",85,Transportation
Ultrasonic lithotripsy,66-96,Medical
Urban ambient,70,Public
Vacuum cleaner,65,Household
Vacuum cleaner,67,Household
Vacuum cleaner,70,Household
Vacuum cleaner,70,Household
Vacuum cleaner,74,Household
Vacuum cleaner,74,Household
Vacuum cleaner,75,Household
Vacuum cleaner,80,Household
Vacuum cleaner,80,Household
Vacuum cleaner,80,Household
Vacuum cleaner,85,Household
Vacuum cleaner,60-85,Household
Vacuum cleaner,60-86,Household
Vacuum cleaner,67-83,Household
Vacuum cleaner,84-89,Household
Vacuum cleaner ,70,Household
Vacuum cleaner ,70,Household
"Vacuum, lawn",92,Household
"Vacuum, shop",78-92,Power Tools
Video arcade,80-90,Recreation
Video arcade,89-94,Recreation
Videogame (home),73,Household
Vuvuzela horn as used at South African soccer game,120,Recreation
Wacky Sax by Toy Island,77,Recreation
Walking dog,74,Household
"Washer, clothes",60,Household
"Washer, clothes",75,Household
"Washer, clothes",78,Household
"Washer, clothes",78,Household
"Washer, clothes",80,Household
"Washer, clothes",45-80,Household
"Washer, clothes",47-78,Household
"Washer, clothes",54-74,Household
"Washer, clothes",65-70,Household
Washing car,72,Household
Watch ticking,20,Household
"Watch, mechanical, wrist (near ear)",22,Household
Water closet  / Toilet,62,Household
Water from bathroom centerset faucet with aearator,68,Household
"Water heater, gas (wall mounted)",59-66,Household
Waterfall,45,Nature
Weed cutter,69,Household
Weed whacker,94-96,Household
Whisper,10,Personal
Whisper,15,Personal
Whisper,25,Personal
Whisper,30,Personal
Whisper,30,Personal
Whisper,30,Personal
Whisper,30,Personal
Whisper,30,Personal
Whisper,40,Personal
Whisper,40,Personal
Whisper ,30,Personal
Whisper ,30,Personal
"Whisper, audible",30,Personal
"Whisper, faint",20,Personal
"Whisper, soft",30,Personal
Whistle,55,Personal
"Whistle, safety ",76,Warning
Wilderness ambient,35,Nature
Wind up drummer,88,Toys
"Wind, blowing through trees",48,Nature
"Wind, breeze through trees",62,Nature
"Wind, gusty with rustling tree foliage",55,Nature
"Wind, rustling grass and brush",30,Nature
"Wind, rustling leaves",20,Nature
"Wind, rustling leaves",20,Nature
Woods,18,Nature
"Wrench, impact",103,Power Tools
Yard work,97,Household
"Yelling, person ",78,Personal
Nightclub / discotheque,98,Music/Recording
Personal cassette player,80,Music/Recording
Rock / pop concert,104,Music/Recording
Jazz concert,91,Music/Recording
Symphony concert,90,Music/Recording
Personal stereo,92,Music/Recording
Karaoke,92,Music/Recording
Movie theater,81,Music/Recording
Live shows,85,Music/Recording
Sporting event,106,Music/Recording
"Aerial spraying support personnel, aircraft loader",69,Farm
"Aerial spraying, support personnel, helicopter loader",91,Farm
Air chisel on auto body metal,112,Automotive
Air grinder,100-105,Construction
Air gun,108,Construction
Air hammer,99,Industrial
Air track drill,113,Construction
"Air traffic ctrl tower, Boeing Field, Seattle, WA, during jet takeoff",98,Transportation
"Air traffic ctrl tower, Boeing Field, Seattle, WA, during propeller takeoff",85,Transportation
"Air, compressed, blowing air through nozzle",95,Automotive
"Air, compressed, blowing out street cuts",104,Construction
"Air, compressed, filling tires",83,Automotive
Air-carbon acrcgouging,112,Welding
"Aluminum can production, cupping press",98,Industrial
"Aluminum can production, DI press",96,Industrial
"Aluminum can production, printer",98-102,Industrial
"Ambulance, inside with siren on",97,Warning
"Ambulance, inside with siren on, driver's windows down",100,Warning
"Ambulance, inside with siren on, windows up",96,Warning
"Animal shelter, dogs and cats barking",92,Public
Asphalt grinder,111-116,Construction
Automobile forge press,104-105,Industrial
Backhoe,85,Construction
Backhoe,89,Construction
Backhoe,87,Construction
Bag and handle former (paper products),89,Industrial
Bar bender,104,Construction
Bar staff in university Music/Recording venue,90,Music/Recording
Bedding chopper ,93,Farm
"Bedding choppers, Ostego, County, NY, dairy farm",94-102,Farm
"Bells, Salvation Army",91,Public
Belt sander,93-104,Construction
"Belt sander, loaded",84,Power Tools
"Belt sander, unloaded",95,Construction
Binder (printing and publishing),86,Industrial
Blacksmith shop,81,Industrial
"Blower room, refractory production department",82,Industrial
Boiler room,90,Industrial
Boiler room,90,Industrial
Bottling plant,100,Industrial
"Brick mason drilling and chipping brick, concrete, plaster",91,Construction
"Bricklayers - break, rest, lunch, cleanup",85,Construction
"Bricklayers - bricking, blocking, tiling",92,Construction
Bricklayers - grouting and mortaring,93,Construction
Bricklayers - manual material handling,89,Construction
Bricklayers - operating work vehicle,98,Construction
"Bricklayers - pointing, cleaning, caulking",95,Construction
Bulldozer,110,Construction
Bulldozer,102,Construction
Bulldozer,87,Construction
Bulldozer,100,Construction
Bulldozer,94,Construction
Bulldozer,88,Logging
Bulldozer,95-105,Mining
Bulldozer ,105,Construction
"Bus, urban (in Brazil) bi-articulated",78,Transportation
"Bus, urban (in Brazil), Feeder bus",82,Transportation
"Bus, urban (in Brazil), Speedy bus",75,Transportation
Can fillling machine,100,Industrial
Can making body operation,95,Industrial
Can seaming (petroleum refining),96,Industrial
Canning punch press,97,Industrial
Carpenter,90,Construction
Carpenter constructing wood frams and concrete forms,87-98,Construction
"Carpenters - break, rest, lunch, cleanup",88,Construction
Carpenters - building forms,93,Construction
Carpenters - interior finish work,89,Construction
Carpenters - layout work,91,Construction
Carpenters - manual material handling,89,Construction
Carpenters - operating work vehicle,80,Construction
Carpenters - shop work,89,Construction
Carpenters - stripping forms,95,Construction
Carpenters - welding,95,Construction
Carpenters - wood framing,91,Construction
"Carwash, blower at exit end",100,
Casting shakeout area,112,Industrial
Casting shakeout area,112,Industrial
"Catcher/processor, engine deck ",102,Marine
"Catcher/processor, factory deck",89,Marine
"Catcher/processor, fish meal deck",92,Marine
"Catcher/processor, fishing deck",83,Marine
"Catcher/processor, quarters deck",66,Marine
"Cement masons - break, rest, lunch, cleanup",83,Construction
Cement masons - finishing concrete,84,Construction
Cement masons - floor leveling,70,Construction
Cement masons - grinding,95,Construction
Cement masons - manual material handling,87,Construction
Cement masons - patching concrete,93,Construction
Cement masons - placing concrete,88,Construction
Cement masons - repairing concrete,89,Construction
Cement masons - setting forms,87,Construction
Chain conveyors,97-100,Mining
"Chipper, wood",99,Machinery
"Chipping gun, pneumatic",100,Construction
"Chipping gun, pneumatic",120,Construction
"Chipping gun, pneumatic",103,Construction
"Chipping gun, pneumatic, chipping concrete and plaster",105-112,Construction
Chipping hammer,98-104,Construction
"Chisel, pneumatic (metal products)",101,Industrial
Chopping firewood,78,Logging
Circular saw cutting laminated countertop,108,Construction
"Classical music, brass",92-94,Music/Recording
"Classical music, City of Birmingham Symphony Orchestra",90,Music/Recording
"Classical music, harp",87,Music/Recording
"Classical music, percussion ",95,Music/Recording
"Classical music, strings",83-87,Music/Recording
"Classical music, woodwinds",89-95,Music/Recording
"Classical musicians; string, orchestral, and symphonic works",90,Music/Recording
Coal auger,90-100,Mining
Combines,105,Farm
Combines,97,Farm
Combines,86-98,Farm
Combines,87-93,Farm
Compactor,108,Construction
"Compactor, vibratory",92,Construction
Compressed air blowdown,114,Industrial
Compressed air gun,93,Construction
"Compressor , air",94,Industrial
"Compressor, air",90,Construction
"Compressor, air",97,Construction
"Compressor, air",94,Industrial
"Compressor, air",92,Industrial
"Compressor, air",90-93,Industrial
"Compressor, air, bleeding air",89,Automotive
"Compressor, air, portable",81,Construction
"Compressor, air, portable",94,Construction
"Compressor, air, running",87,Automotive
"Compressor, gas lift (offshore platforms)",105-110,Industrial
Concrete breaker,102,Construction
Concrete form finisher,93,Construction
Concrete form vibrator,89,Industrial
Concrete mixer,94,Construction
Concrete mixing truck,85,Construction
Concrete pump,99,Construction
Concrete saw,98,Construction
Concrete vibrator,90,Construction
Concrete vibrator,105,Construction
"Conference room, carpeted",51,Office
Construction noise,110,Construction
Continuous miners,97-103,Mining
Conveyor belt,93,Mining
"Conveyor, pneumatic",100,Farm
"Core drill drilling brick, concrete, steel",90,Construction
Corn grinding,97,Farm
Cotton spinning (textile mill),83,Industrial
Crane,99,Construction
Crane,90,Construction
"Crane, mobile",86,Construction
"Crane, mobile",88,Construction
"Crane, tower",87,Construction
Crusher,96,Mining
Curb machine,93,Construction
"Cutter, paper",96,Industrial
Cutting concrete,103-113,Construction
Cutting machines,85-93,Mining
Cutting torch,80,Industrial
Cutting wood,85-116,Construction
Demolition (removing plaster and metal ductwork),93-103,Construction
"Dental work, pediatric, child crying during procedure",88,Medical
Disc jockey in nightclub,103,Music/Recording
Disc jockey in nightclub,95-107,Music/Recording
Double scraper,92,Construction
"Dragline, diesel powered",85-98,Mining
"Drill, electric",102,Construction
"Drill, jumbo",107,Mining
"Drill, percussion, machine-mounted (hydraulic)",100-114,Mining
"Drill, percussion, machine-mounted (pneumatic)",116-118,Mining
"Drill, rock  ",92,Construction
"Drill, rock  ",98,Construction
"Drill, rotary",93,Mining
"Drill, rotary diesel-powered",85-100,Mining
"Drill, rotary, electrically-powered",75-95,Mining
"Drill, stoper",115,Mining
"Drill, unloaded",82-89,Construction
"Drilling rebar holes in brick, concrete, steel",92-98,Construction
Drywall installer,90,Construction
Edging sidewalks,97,Industrial
Electric furnace area,100,Industrial
Electric furnace area,100,Industrial
Electric shovel,72-89,Mining
"Electricians - break, rest, lunch, cleanup",87,Construction
Electricians - installing cable tray,92,Construction
Electricians - installing slab conduit,91,Construction
Electricians - installing trench conduit,96,Construction
Electricians - installing wall conduit,91,Construction
Electricians - manual material handling,87,Construction
Electricians - operating work vehicle,79,Construction
"Electricians - panel wiring, installing fixtures",87,Construction
Electricians - pulling wire,96,Construction
Electricians - sheet metal work,82,Construction
Elevator installer,96,Construction
"Emergency generator, diesel",110,Industrial
Excavation equipment breaking up and moving concrete,93-99,Construction
Excavator,80,Construction
Excavator,101-102,Construction
Excavator,90,Construction
Excavator,91,Construction
Excavator,86,Logging
"Factory lunchroom, noon",60,
"Factory, average",80,Industrial
"Factory, average",75,Industrial
"Factory, boiler",105,Industrial
"Factory, noisy",100,Industrial
"Factory, noisy",95,Industrial
"Fan, axial vane",107,Mining
"Fan, centrifugal ventilating",105,Industrial
"Fan, vaneaxial ventilating",90,Industrial
Fans,90-110,Mining
"Feed carts, Ostego, County, NY, dairy farm",85-92,Farm
Feed unloading area,90,Farm
Fencing mill board trimmer,95,Industrial
Fencing mill wood chipper,106,Industrial
"Fishing purse-seiner, back deck",79,Marine
"Fishing purse-seiner, bridge",79,Marine
"Fishing purse-seiner, captain's quarters",72,Marine
"Fishing purse-seiner, crew's quarters",80,Marine
"Fishing purse-seiner, engine room",104,Marine
"Fishing purse-seiner, galley",74,Marine
"Fishing purse-seiner, helm",71,Marine
"Fishing purse-seiner, main engine exhaust",86,Marine
"Fishing purse-seiner, skiff",103,Marine
"Fishing trawler, engine room",104,Marine
"Fishing trawler, living quarters",58,Marine
"Fishing trawler, mess",58,Marine
"Fishing trawler, navigation bridge",60,Marine
"Fishing trawler, processing plant",88,Marine
"Fishing trawler, trawl deck",58,Marine
"Fixed wing aircraft, Agcat, aerial spraying",98-110,Farm
"Fixed wing aircraft, Eagle, aerial spraying",103,Farm
"Fixed wing aircraft, Weatherly, aerial spaying",106,Farm
"Fixed wing aircraft, Weatherly, flyovers",94-110,Farm
"Fixed wing aircraft, Weatherly, idle",79,Farm
"Fixed wing aircraft, Weatherly, takeoff, loaded",116,Farm
"Fixed wing aricraft, Weatherly, takeoff, unloaded",108,Farm
"Floor lift, pneumatic, raising vehicle",89,Transportation
Folding machines (printing and publishing),85,Industrial
"Football game, avg. of med & large college stadiums",88,Recreation
Forklift,93,Construction
Forklift,89,Construction
Foundry,72,Industrial
Framing saw,82,Construction
Front end loader,90,Construction
Front end loader,90,Construction
Front end loader,93,Construction
Front end loader,93,Construction
Front end loader,82,Logging
Front end loader,95-102,Mining
Fruit vegetable utility room,83,Farm
Fruit/vegetable processing area,83,Farm
Furnace heating distilling columns (petroleum refining),100,Industrial
Furnace high speed rotating equipment (petroleum refining),100,Industrial
Furnace pumps (petroleum refining),103,Industrial
"Furnace, basic oxygen (steel products)",91,Industrial
"Furnace, blast (steel products)",100,Industrial
"Furnace, electric 150 tons (steel products)",112,Industrial
Gas-metal arc welding,89,Welding
Gas-tungsten arc welding,58-72,Welding
Generator,98,Construction
Generator,71,Industrial
"Generator, diesel           ",58,Industrial
"Generator, diesel (offshore platforms)",110-120,Industrial
"Generator, portable",76,Construction
"Generator, turbine",120,Industrial
"Glass burner, blast - 1 mm nozzle",88-103,Industrial
"Glass burner, blast - 2 mm nozzle",100-110,Industrial
"Glass burner, blast - 3 mm nozzle",102-116,Industrial
"Glass burner, multijet",94-109,Industrial
"Glass burner, ring",88,Industrial
"Glass Torch, hand",70-93,Industrial
Grader,95,Construction
Grader,86,Construction
Grader,87,Construction
Grader,84,Logging
Grader,85-98,Mining
Grain dryers,85-94,Farm
Grain dryers,99,Farm
Grain dryers,98-101,Farm
Grain roller mill,85,Farm
"Grinder, electric",100,Construction
"Grinder, hand 4"" (metal products)",85,Industrial
"Grinder, unloaded",84-99,Construction
Grinding,102,Power Tools
Hammer drill drilling into concrete,95,Construction
"Hammer drill, loaded",97-110,Construction
Hammer operator (drop forging),108,Industrial
"Hammer, air",110,Construction
"Hammer, forge drop (metal products)",105,Industrial
Hand shovel cleaning street cuts,87,Construction
Haul truck,85-110,Mining
Haulage truck,90-100,Mining
Helicopter takeoff,108,Farm
"Helicopter, Bell G2, aerial spraying",98,Farm
"Helicopter, Bell Tomcat, aerial spraying",90-100,Farm
"Helicopter, idle",90,Farm
High pressure exhaust,158,Industrial
Hilti Gun,103,Construction
Hoist operator,100,Construction
"Hovercraft, Griffon 2000TD, maximum speed",97,Transportation
Ice cream machine,75,Industrial
"Impact wrench, loaded",102,Construction
"Impact wrench, removing lug nut",104,Transportation
Inflation of containers (glass products),106,Industrial
Installing tire with wheel machine,88,Transportation
Insulation workers - applying insulation by hand,83,Construction
"Insulation workers - break, rest, lunch, cleanup",83,Construction
Insulation workers - sheet metal work,78,Construction
Ironworkers - bolt up,94,Construction
"Ironworkers - break, rest, lunch, cleanup",96,Construction
Ironworkers - erecting Iron,92,Construction
Ironworkers - grinding,92,Construction
Ironworkers - laying metal deck,100,Construction
Ironworkers - manual material handling,94,Construction
Ironworkers - operating forklift,87,Construction
Ironworkers - operating work vehicle,89,Construction
Ironworkers - rigging,94,Construction
Ironworkers - setting forms,88,Construction
Ironworkers - tying and placing rebar,96,Construction
Ironworkers - welding and burning,98,Construction
Jackhammer,130,Construction
Jackhammer,88,Construction
"Jackhammer, drill",113,Mining
"Jackhammer, large",108,Construction
"Jackhammer, pneumatic",120,Construction
"Jackhammer, small",98,Construction
"Jail doors, electric lock release buzzer",85,Machinery
Jazz musicians during typical rehearsal,96,Music/Recording
Jazz musicians during typical rehearsal,98,Music/Recording
Jazz musicians during typical rehearsal,98,Music/Recording
Keyboard mono-type (printing and publishing),84,Industrial
Laborer - concrete pour ,97,Construction
Laborer - formwork,88,Construction
Laborer - installing drains and roughing concrete,100,Construction
Laborer - road construction,86,Construction
Laborer stripping concrete forms,81,Construction
"Laborers - break, rest, lunch, cleanup",92,Construction
Laborers - building forms,92,Construction
Laborers - chipping concrete,103,Construction
Laborers - demolition,99,Construction
Laborers - finishing concrete,85,Construction
Laborers - floor leveling,88,Construction
Laborers - grouting,86,Construction
Laborers - interior finish,85,Construction
Laborers - layout,80,Construction
Laborers - manual material handling,83,Construction
Laborers - operating forklift,85,Construction
Laborers - placing concrete,92,Construction
Laborers - rigging,93,Construction
Laborers - stripping forms,92,Construction
Laborers - wood framing,87,Construction
Large Power Tool,102,Construction
Lathe ,81,Industrial
"Lathe, turret (metal products)",90,Industrial
"Lawnmower, EMR 91, cutting grass",88,Industrial
"Lawnmower, EMR 96, cutting grass",91,Industrial
"Lawnmower, EMR 99, cutting grass",99,Industrial
Loader (gathering arm),96,Mining
Loader-dumper,97-102,Mining
Loaders,95-100,Mining
Locomotive ,85,Mining
Locomotives (electrical),85-95,Mining
Log handling,89,Logging
Log loader,80-95,Logging
Log processing,85,Logging
Log sorting and loading,89,Logging
Log truck,71-85,Logging
Log truck,84,Logging
Log yarding and landing,90,Logging
Logging road construction,92,Logging
Long-wall shearers,96-101,Mining
Loom,100,Industrial
Loom (textile mill),106,Industrial
Manlift,98,Construction
Manual material handling,85,Construction
"Masonry restoration workers - break, rest, lunch, cleanup",85,Construction
"Masonry restoration workers - bricking, blocking, tiling",87,Construction
Masonry restoration workers - grinding,99,Construction
Masonry restoration workers - manual material handling,85,Construction
"Masonry restoration workers - pointing, cleaning, caulking",77,Construction
Milk area,76,Farm
Milk cooling compressor,84,Farm
Milk house,82,Farm
"Milkhouse, Ostego, County, NY, dairy farm",72-94,Farm
"Mill, 160"" (steel products)",98,Industrial
"Mill, steel bar and rod",67,Industrial
"Mill, steel plate roll",96,Industrial
"Mill, steel roll",89,Industrial
"Mill, steel sheet",98,Industrial
Milling machine (metal products),90,Industrial
Millling machine,85,Industrial
"Miner, continuous",108,Mining
"Miner, continuous",99,Mining
Mono-casting (printing and publishing),91,Industrial
Motor test chamber,140,Industrial
Needle gun inside gear housing,132,Industrial
"Night club, bar staff, UK",96,Music/Recording
"Night club, door staff, UK",92,Music/Recording
"Night club, floor staff, UK",102,Music/Recording
"Night clubs, avg. of bar and floor staff, UK",89-103,Music/Recording
"Night clubs, bar staff",90,Music/Recording
"Night Clubs, bar staff employees in 19 facilities in the UK",94,Music/Recording
"Night clubs, bar staff, Hong Kong",94,Music/Recording
"Night clubs, bar staff, UK",75-105,Music/Recording
"Night clubs, bar staff, UK",87-100,Music/Recording
"Night clubs, bar staff, UK",84-97,Music/Recording
"Night clubs, bar staff, UK",78-104,Music/Recording
"Night clubs, bar staff, UK",96,Music/Recording
"Night clubs, DJ",103,Music/Recording
"Night clubs, DJs, Hong Kong",94,Music/Recording
"Night clubs, DJs, UK",91-107,Music/Recording
"Night clubs, entrance, Hong Kong",73,Music/Recording
"Night clubs, floor staff",90,Music/Recording
"Night clubs, manager",98,Music/Recording
"Night clubs, security",84,Music/Recording
"Night Clubs, security, cashiers, bar staff in 5 facilities in Singapore",90,Music/Recording
"Night Clubs, waiters and disc jockets in 5 facilities in Singapore",94,Music/Recording
Notching stumps,83,Logging
"Oceangoing dredge, crew mess",64,Marine
"Oceangoing dredge, crew recreation room",64,Marine
"Oceangoing dredge, deck crew quarters",55,Marine
"Oceangoing dredge, engine crew quarters",59,Marine
"Oceangoing dredge, engine room",95,Marine
"Oceangoing dredge, gym",63,Marine
"Oceangoing dredge, officers' mess",57,Marine
"Oceangoing dredge, officers' stateroom",59,Marine
"Oceangoing dredge, pump rooms",94,Marine
Office,53,Office
Office,50,Office
"Office, 12' x 14', carpeted",50,Office
"Office, accounting",55,Office
"Office, accounting",55,Office
"Office, average",50,Office
"Office, average",50,Office
"Office, business",65,Office
"Office, noisy with machines",80,Office
"Office, private business",52,Office
"Office, private business",52,Office
"Office, quiet",40,Office
"Office, quiet",50,Office
"Office, quiet",40,Office
Opera musicians avg'd over 14 performances by Australian Opera Co. ,77-92,Music/Recording
Operating engineers -  grade checking,90,Construction
Operating engineers -  layout,89,Construction
Operating engineers -  rigging,87,Construction
Operating engineers -  welding,91,Construction
"Operating engineers - break, rest, lunch, cleanup",86,Construction
"Orbital sander, loaded",65-84,Construction
Orchard sprayer,106,Farm
Other Hand Power Tool,95,Construction
"Oven, coke (steel products)",83,Industrial
Oxyfuel welding and cutting,80-89,Welding
Paper collating machine,81,Industrial
Paper folding machine,92,Industrial
Pavement breaker,120,Construction
"Pavement breaker, hydraulic",98,Construction
"Pavement breaker, pneumatic",108,Construction
Paving machine,90,Construction
Paving machine,89,Construction
Paving machine,110,Construction
Penumatic chipper (diesel),109,Construction
Personal radio headset/earcanal insert,83,Industrial
"Picker, two-row corn",106,Farm
"Pig squeals, feeding",103,Farm
"Pig squeals, feeding breeders",85-105,Farm
"Pig squeals, feeding weaners",90-107,Farm
"Pig squeals, sows",102,Farm
"Pigs, during feeding",95-104,Farm
"Pigs, high-pressure water cleaning of feed areas",98-105,Farm
Pile driver,101,Construction
Piledriver - bored using auger,81,Construction
Piledriver - diesel hammer on concrete pile,95,Construction
Piledriver - diesel hammer on steel pile,99,Construction
Piledriver - drop hammer on concrete pile,83,Construction
Piledriver - drop hammer on steel pile,93,Construction
Piledriver - vibratory on steel pile,85,Construction
Pipe noise (offshore platforms),95-105,Industrial
Pipe threader,92-97,Construction
Plasma arc cutting machine,95-100,Construction
Plasma cutter,92,Industrial
Plasma-arc welding,101,Welding
Plumber,90,Construction
Pneumatic hammer chipping concrete,109,Construction
Pneumatic percussion tools,114-120,Mining
Poker vibrator,98,Construction
"Police boat at 10 mph, stern",86,Transportation
"Police boat at 3 mph, stern",72,Transportation
Police boat at 35 mph inside cabin with air horn,98,Transportation
"Police boat at 35 mph, bow with siren",124,Warning
"Police boat at 35 mph, cabin",91,Transportation
"Police boat at 35 mph, inside cabin with siren",95,Warning
"Police boat at 35 mph, stern",99,Transportation
"Police boat, rigid hull at 35 mph, stern",94,Transportation
"Police motorcycle, Kawasaki 1000, 5000 rpm",95,Transportation
"Police motorcycle, Kawasaki 1000, siren on",110,Warning
"Police siren, mounted on car grill, at front of car",114,Warning
"Police siren, mounted on car grill, inside car",97,Warning
"Pool, public, indoor with 150+ spectators shouting",74,Public
Portable air compressor,77-85,Construction
Power house air blower,83,Industrial
Power house turbine generator,96,Industrial
"Power sander, loaded",79,Power Tools
Press operator (drop forging),99,Industrial
"Press, newspaper ",95,Industrial
"Press, newspaper (printing and publishing)",97,Industrial
"Press, offset (printing and publishing)",88,Industrial
"Press, postcard (publishing and printing)",91,Industrial
"Press, print, loaded",86,Industrial
"Press, print, unloaded",83,Industrial
"Press, printing",80,Industrial
"Press, small offset (publishing and printing)",82,Industrial
Printing press plant,85,Industrial
Printing press plant,85,Industrial
Processor,84,Logging
"Puller, one-row beet",94,Farm
Pulling and setting equipment rigging,78,Logging
Pump,96,Construction
Pump (offshore platforms),100-115,Industrial
Punch press,105,Industrial
"Punch press, automatic (metal products)",95,Industrial
"Radio announcers, under headphones",79,
Rattle Gun,98,Construction
Rebar worker,95,Construction
"Reciprocating saw, unloaded",89-95,Construction
"Relay assembly test room circa 1928, Western Electric",88-92,Industrial
Riveter,115,Industrial
Riveter,110,Industrial
Riveter,110,Industrial
"Riveter, pneumatic",130,Industrial
Riveting machine,112,Industrial
Riveting machine,112,Industrial
Riveting machine,110,Industrial
Riveting machine (metal products),110,Industrial
Rock drill,102-108,Logging
Roller,98,Construction
Roller/compactor,88,Construction
Roller/compactor,97,Construction
Roof bolter,103,Mining
Roofer cutting and installing roof decking,90-100,Construction
Rotohammer,98,Construction
Router,102,Construction
Router cutting holes in drywall,96,Construction
"Saw, band",89,Construction
"Saw, chain",113,Farm
"Saw, chain",95,Farm
"Saw, chain",98-104,Logging
"Saw, chain",91,Logging
"Saw, chain idling",77-93,Farm
"Saw, chain, cutting",110,Logging
"Saw, chain, idling",94,Logging
"Saw, chain, Ostego, County, NY, dairy farm",105-115,Farm
"Saw, chain, revving",113,Logging
"Saw, chop",98,Construction
"Saw, chop, cutting 20 gauge steel stud",109,Construction
"Saw, chop, cutting steel furrings",101,Construction
"Saw, circular",102-104,Construction
"Saw, corrugated bandsaw (glass products)",99,Power Tools
"Saw, cutoff (gas)",94-97,Construction
"Saw, cutoff (gas)",109,Construction
"Saw, jig unloaded",84-92,Construction
"Saw, jig, cutting laminated countertop",96,Construction
"Saw, miter loaded",92-96,Construction
"Saw, power hack",77,Construction
"Saw, radial arm",96-100,Construction
"Saw, table",100,Construction
Sawmill board edger,96,Industrial
Sawmill board trimmer,93,Industrial
Sawmill wood chipper,93,Industrial
"Saws, circular, unloaded",83-103,Construction
"Scarfing, metal",112,Industrial
"Scraper, earth",117,Construction
"Scraper, earth",90,Construction
"Scraper, earth",107-111,Construction
"Scraper, earth",88,Construction
"Scraper, earth",99,Construction
"Scraper, earth",100,Construction
"Scraper, earth",85-100,Mining
"Screw driver, unloaded",90-93,Construction
Screw gun attaching drywall to steel studs,97,Construction
"Screw Gun, Drill",98,Construction
Security staff in university Music/Recording venue,94,Music/Recording
Sheet metal workers -  fabricating metal products,88,Construction
Sheet metal workers -  installing metal products,88,Construction
Sheet metal workers -  maintaining metal products,86,Construction
Sheet metal workers -  manual material handling,90,Construction
Sheet metal workers -  operating work vehicle,83,Construction
"Sheet metal workers - break, rest, lunch, cleanup",81,Construction
Shielded-metal arc welding,79,Welding
